City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,bonthe,7.5264,-12.505,29.74,59,43,5.63,SL,1671260132
180,horodnya,51.8909,31.5974,1.69,100,100,1.42,UA,1671256576
181,lagoa,39.05,-27.9833,17.15,77,24,13.35,PT,1671267907
182,putyatino,54.16,41.1169,0.46,99,100,2.88,RU,1671255045
183,antalaha,-14.9003,50.2788,24.87,75,97,2.23,MG,1671242684
184,alampur,15.8833,78.15,25.23,66,74,4.47,IN,1671239268
185,yar-sale,66.8333,70.8333,-11.83,95,100,3.8,RU,1671257700
186,ponta do sol,32.6667,-17.1,21.51,77,52,2.59,PT,1671264260
187,mareeba,-17.0,145.4333,23.02,94,17,1.0,AU,1671306026
188,zhaoyuan,37.3592,120.3964,-4.6,47,95,9.04,CN,1671318424
189,marystown,47.1666,-55.1483,2.56,75,98,7.62,CA,1671276110
190,diamantina,-18.2494,-43.6003,20.71,72,100,4.3,BR,1671264836
191,broome,42.2506,-75.833,1.83,87,64,1.79,US,1671279997
192,saint-philippe,-21.3585,55.7679,25.77,81,63,5.96,RE,1671240607
193,guerrero negro,27.9769,-114.0611,14.77,40,71,0.95,MX,1671286880
194,yenagoa,4.9247,6.2642,30.91,56,99,3.14,NG,1671255354
195,balabac,7.9868,117.0645,26.75,81,84,3.25,PH,1671315503
196,esperance,-33.8667,121.9,15.63,75,6,6.32,AU,1671309406
197,ambon,-3.6954,128.1814,25.69,15,40,1.54,ID,1671311618
198,norman wells,65.282,-126.8329,-20.98,77,75,4.63,CA,1671302436
199,caravelas,-17.7125,-39.2481,28.02,70,100,3.53,BR,1671263854
200,bitam,2.076,11.5007,24.12,80,98,0.61,GA,1671253801
201,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,79,75,2.0,RU,1671312883
202,torbay,47.6666,-52.7314,2.54,94,100,6.17,CA,1671275652
203,teya,60.3778,92.6267,-24.72,99,98,1.36,RU,1671245521
204,soyo,-6.1349,12.3689,27.2,75,64,4.71,AO,1671252738
205,ilebo,-4.3167,20.5833,25.84,79,88,1.7,CD,1671250957
206,gat,31.61,34.7642,20.78,33,4,1.92,IL,1671251652
207,port hardy,50.6996,-127.4199,4.97,79,99,5.51,CA,1671294401
208,dondo,-19.6094,34.7431,29.32,66,77,2.25,MZ,1671245867
209,vila franca do campo,37.7167,-25.4333,21.22,87,100,10.62,PT,1671267062
210,langsa,4.4683,97.9683,23.66,96,47,1.19,ID,1671233290
211,swan river,52.1058,-101.2676,-20.06,77,99,3.6,CA,1671288547
212,narsaq,60.9167,-46.05,-9.88,67,4,2.82,GL,1671279157
213,nizwa,22.9333,57.5333,21.95,35,4,0.17,OM,1671245038
214,makakilo city,21.3469,-158.0858,19.99,84,0,2.06,US,1671296615
215,mwinilunga,-11.7358,24.4293,18.73,94,100,1.68,ZM,1671249242
216,nemuro,43.3236,145.575,-0.13,95,100,6.54,JP,1671313491
217,curvelo,-18.7564,-44.4308,27.06,56,100,3.21,BR,1671264975
218,filingue,14.3521,3.3168,33.46,9,42,4.66,NE,1671257065
219,brae,60.3964,-1.353,6.17,69,85,7.81,GB,1671268101
220,kinsale,51.7075,-8.5306,3.65,93,40,2.57,IE,1671266155
221,warrnambool,-38.3833,142.4833,11.73,89,0,5.36,AU,1671303685
222,tuktoyaktuk,69.4541,-133.0374,-25.0,77,75,4.63,CA,0
223,cockburn town,21.4612,-71.1419,26.98,57,40,2.57,TC,1671275754
224,dali,25.7,100.1833,4.83,90,85,2.42,CN,1671321577
225,rio gallegos,-51.6226,-69.2181,16.03,31,75,10.29,AR,1671264829
226,talnakh,69.4865,88.3972,-20.27,94,100,4.69,RU,0
227,tuatapere,-46.1333,167.6833,11.46,96,100,1.13,NZ,1671295970
228,vila velha,-20.3297,-40.2925,26.97,69,75,5.14,BR,1671263793
229,porto novo,6.4965,2.6036,28.9,63,100,3.87,BJ,1671256397
230,machico,32.7,-16.7667,21.51,78,20,10.29,PT,1671264185
